"Course Code","Course Instructor","Registered Students","Exam slot","Data"
"BB 101","","","","3C-LT 304-08:30:00-09:25:003C-LT 305-08:30:00-09:25:003C-LT 306-08:30:00-09:25:003C-LT 205-08:30:00-09:25:003C-LT 206-08:30:00-09:25:008B-LT 304-14:00:00-15:25:008B-LT 305-14:00:00-15:25:008B-LT 306-14:00:00-15:25:008B-LT 205-14:00:00-15:25:008B-LT 206-14:00:00-15:25:00"
"BB 401","Ranjith P.","25","14","14B-LC 102-17:30:00-18:55:0014A-LC 102-17:30:00-18:55:00"
"BB 403","D. Panda","25","1","1A-LT 203-08:30:00-09:25:001C-LT 203-10:35:00-11:30:001B-LT 203-09:30:00-10:25:00"
"BB 405","Patankar Swati","11","5","5B-SMA113-09:30:00-10:55:005A-SMA113-09:30:00-10:55:00"
"BB 405","Patankar Swati","33","5","5B-SMA113-09:30:00-10:55:005A-SMA113-09:30:00-10:55:00"
"BB 407","P. S. Phale","30","2","2B-LT 203-10:35:00-11:30:002A-LT 203-09:30:00-10:25:002C-LT 203-11:35:00-12:30:00"
"BB 409","Ashutosh Kumar","29","3","3B-LT 003-11:35:00-12:30:003A-LT 003-10:35:00-11:30:003C-LT 003-08:30:00-09:25:00"
"BB 409","Samir Maji","29","3","3C-LT 003-08:30:00-09:25:003B-LT 003-11:35:00-12:30:003A-LT 003-10:35:00-11:30:00"
"BB 411","P. J. Bhat","21","5","5B-LC 301-09:30:00-10:55:005A-LC 301-09:30:00-10:55:00"
"BB 411","P. J. Bhat","25","5","5B-LC 301-09:30:00-10:55:005A-LC 301-09:30:00-10:55:00"
"BB 451","P. S. Phale","24","L1","L1--14:00:00-16:55:00"
"BB 451","I00040 - Prashant S. Phale","","","4A-LT 203-11:35:00-12:30:00"
"BB 501","P. J. Bhat","21","5","5B-LC 301-09:30:00-10:55:005A-LC 301-09:30:00-10:55:00"
"BB 503","K.K. Rao","41","6","6A-LC 302-11:05:00-12:30:006B-LC 302-11:05:00-12:30:00"
"BB 505","Rahul Purwar","41","8","8A-LT 201-14:00:00-15:25:003B-LT 102-11:35:00-12:30:00"
"BB 505","K. B. Sainis","41","8","3B-LT 102-11:35:00-12:30:008A-LT 201-14:00:00-15:25:00"
"BB 507","N.S. Punekar","30","2","2C-LT 202-11:35:00-12:30:002B-LT 202-10:35:00-11:30:002A-LT 202-09:30:00-10:25:00"
"BB 507","N.S. Punekar","2","2","2C-LT 202-11:35:00-12:30:002B-LT 202-10:35:00-11:30:002A-LT 202-09:30:00-10:25:00"
"BB 551","661002 - K. Krishnamurthy Rao","","","1C-LT 202-10:35:00-11:30:00"
"BB 551","K.K. Rao","27","L3","L3--14:00:00-16:55:00"
"BB 553","Prasenjit  Bhaumik","48","",""
"BB 553","I11082 - Prasenjit  Bhaumik","","","1B-LT 202-09:30:00-10:25:00"
"BB 601","Banerjee Rinti","37","11","11A-LT 202-15:30:00-16:55:007A-LT 202-08:30:00-09:25:00"
"BB 601","R. Srivastava","37","11","11A-LT 202-15:30:00-16:55:007A-LT 202-08:30:00-09:25:00"
"BB 603","Banerjee Rinti","47","7","7B-LT 202-08:30:00-09:25:004A-LT 202-11:35:00-12:30:00"
"BB 603","Vivek P. Soni","3","7","7B-LT 202-08:30:00-09:25:004A-LT 202-11:35:00-12:30:00"
"BB 603","Banerjee Rinti","3","7","4A-LT 202-11:35:00-12:30:007B-LT 202-08:30:00-09:25:00"
"BB 603","Vivek P. Soni","47","7","4A-LT 202-11:35:00-12:30:007B-LT 202-08:30:00-09:25:00"
"BB 607","S. Srivastava","18","6","6B-LT 002-11:05:00-12:30:006A-LT 002-11:05:00-12:30:00"
"BB 611","S. Ghosh","14","5","5A-LT 202-09:30:00-10:55:005B-LT 202-09:30:00-10:55:00"
"BB 617","Ashutosh Kumar","9","10","10B-LT 202-14:00:00-15:25:0010A-LT 202-14:00:00-15:25:00"
"BB 617","Samir Maji","9","10","10B-LT 202-14:00:00-15:25:0010A-LT 202-14:00:00-15:25:00"
"BB 619","Ranjith P.","60","14","14A-LC 102-17:30:00-18:55:0014B-LC 102-17:30:00-18:55:00"
