"Course Code","Course Instructor","Registered Students","Exam slot","Data"
"CH 107","","","","X2-LT 301-15:00:00-16:00:00X2-LT 302-15:00:00-16:00:00X2-LT 303-15:00:00-16:00:00X2-LT 202-15:00:00-16:00:00X2-LT 203-15:00:00-16:00:00X2-LT 304-15:00:00-16:00:00X2-LT 305-15:00:00-16:00:00X2-LT 306-15:00:00-16:00:00X2-LT 205-15:00:00-16:00:00X2-LT 206-15:00:00-16:00:003C-LT 301-08:30:00-09:25:003C-LT 302-08:30:00-09:25:003C-LT 303-08:30:00-09:25:003C-LT 202-08:30:00-09:25:003C-LT 203-08:30:00-09:25:008A-LT 304-14:00:00-15:25:008A-LT 305-14:00:00-15:25:008A-LT 306-14:00:00-15:25:008A-LT 205-14:00:00-15:25:008A-LT 206-14:00:00-15:25:00"
"CH 107","Rajarshi Chakrabarti","220","9","9B-LA 102-15:30:00-16:55:009A-LA 102-15:30:00-16:55:00"
"CH 107","Sandip Kar","243","2","2C-LA 102-11:35:00-12:30:002B-LA 102-10:35:00-11:30:002A-LA 102-09:30:00-10:25:00"
"CH 117","Pradeep Kumar P.I.","42","L",""
"CH 117","D. Maiti","42","L",""
"CH 117","Rajarshi Chakrabarti","72","L",""
"CH 117","G. Naresh Patwari","37","L",""
"CH 117","Rajarshi Chakrabarti","42","L",""
"CH 117","D. Maiti","72","L",""
"CH 117","Sambasivarao Kotha","44","L",""
"CH 117","Pradeep Kumar P.I.","72","L",""
"CH 117","Leela S. Panchakarla","30","L",""
"CH 117","Leela S. Panchakarla","80","L",""
"CH 117","D. Maiti","37","L",""
"CH 117","G. Naresh Patwari","30","L",""
"CH 117","Leela S. Panchakarla","72","L",""
"CH 117","G. Naresh Patwari","44","L",""
"CH 117","G. Naresh Patwari","80","L",""
"CH 117","Leela S. Panchakarla","42","L",""
"CH 117","Sambasivarao Kotha","37","L",""
"CH 117","Sambasivarao Kotha","42","L",""
"CH 117","Leela S. Panchakarla","37","L",""
"CH 117","Pradeep Kumar P.I.","80","L",""
"CH 117","Rajarshi Chakrabarti","30","L",""
"CH 117","D. Maiti","80","L",""
"CH 117","Rajarshi Chakrabarti","44","L",""
"CH 117","Pradeep Kumar P.I.","30","L",""
"CH 117","Rajarshi Chakrabarti","80","L",""
"CH 117","D. Maiti","30","L",""
"CH 117","Pradeep Kumar P.I.","44","L",""
"CH 117","D. Maiti","44","L",""
"CH 117","Sambasivarao Kotha","72","L",""
"CH 117","Sambasivarao Kotha","80","L",""
"CH 117","Sambasivarao Kotha","30","L",""
"CH 117","Leela S. Panchakarla","44","L",""
"CH 117","Rajarshi Chakrabarti","37","L",""
"CH 117","G. Naresh Patwari","72","L",""
"CH 117","G. Naresh Patwari","42","L",""
"CH 117","Pradeep Kumar P.I.","37","L",""
"CH 206","Ghosh Prasenjit","23","",""
"CH 223","Chandra M. Rao.Volla","22","1","1B-CL-125-09:30:00-10:25:001A-CL-125-08:30:00-09:25:001C-CL-125-10:35:00-11:30:00"
"CH 225","Anil Kumar","30","3","3A-CL-128-10:35:00-11:30:003B-CL-128-11:35:00-12:30:003C-CL-128-08:30:00-09:25:00"
"CH 227","M. Ravikanth","26","6","6B-LT 102-11:05:00-12:30:006A-LT 102-11:05:00-12:30:00"
"CH 229","Nand Kishore","23","4","4C-LT 002-09:30:00-10:25:004A-LT 002-11:35:00-12:30:004B-LT 002-08:30:00-09:25:00"
"CH 397","Subramaniam Chandramouli","3","",""
"CH 401","Kaliappan K P","74","1","1B-LC 102-09:30:00-10:25:001C-LC 102-10:35:00-11:30:001A-LC 102-08:30:00-09:25:00"
"CH 403","Subramaniam Chandramouli","74","2","2A-LC 202-09:30:00-10:25:002C-LC 202-11:35:00-12:30:002B-LC 202-10:35:00-11:30:00"
"CH 403","Kamendra P. Sharma","74","2","2A-LC 202-09:30:00-10:25:002C-LC 202-11:35:00-12:30:002B-LC 202-10:35:00-11:30:00"
"CH 405","M. S. Balakrishna","71","6","6A-LC 202-11:05:00-12:30:006B-LC 202-11:05:00-12:30:00"
"CH 405","Gopalan Rajaram","71","6","6B-LC 202-11:05:00-12:30:006A-LC 202-11:05:00-12:30:00"
"CH 415","Maheswaran S.","71","L3","L3--14:00:00-16:55:00"
"CH 415","R. Murugavel","71","L3","L3--14:00:00-16:55:00"
"CH 417","R. B. Sunoj","70","L2","L2--14:00:00-16:55:00"
"CH 417","Santosh J. Gharpure","70","L2","L2--14:00:00-16:55:00"
"CH 425","G. Naresh Patwari","73","4","4A-LC 301-11:35:00-12:30:004B-LC 301-08:30:00-09:25:004C-LC 301-09:30:00-10:25:00"
"CH 433","Nand Kishore","72","L1","L1--14:00:00-16:55:00"
"CH 433","Y. U. Sasidhar","72","L1","L1--14:00:00-16:55:00"
"CH 481","B. L. Tembe","44","5","5B-LT 102-09:30:00-10:55:005A-LT 102-09:30:00-10:55:00"
"CH 481","Sandip Kar","44","5","5B-LT 102-09:30:00-10:55:005A-LT 102-09:30:00-10:55:00"
"CH 507","Sambasivarao Kotha","54","3","3C-CL-130-08:30:00-09:25:003A-CL-130-10:35:00-11:30:003B-CL-130-11:35:00-12:30:00"
"CH 521","Suvarn Kulkarni","120","6","6B-LC 002-11:05:00-12:30:006A-LC 002-11:05:00-12:30:00"
"CH 521","Goutam K. Lahiri","120","6","6B-LC 002-11:05:00-12:30:006A-LC 002-11:05:00-12:30:00"
"CH 546","Pradeep Kumar P.I.","26","4","4B-LT 102-08:30:00-09:25:004C-LT 102-09:30:00-10:25:004A-LT 102-11:35:00-12:30:00"
"CH 546, PROF. PRADEEPKUMAR","","","",""
"CH 547","D. Maiti","105","2","2B-LC 002-10:35:00-11:30:002C-LC 002-11:35:00-12:30:002A-LC 002-09:30:00-10:25:00"
"CH 557","Subramaniam Chandramouli","41","1","1A-CL-136-08:30:00-09:25:001B-CL-136-09:30:00-10:25:001C-CL-136-10:35:00-11:30:00"
"CH 557","Leela S. Panchakarla","41","1","1A-CL-136-08:30:00-09:25:001B-CL-136-09:30:00-10:25:001C-CL-136-10:35:00-11:30:00"
"CH 557","Santosh J. Gharpure","41","1","1B-CL-136-09:30:00-10:25:001A-CL-136-08:30:00-09:25:001C-CL-136-10:35:00-11:30:00"
"CH 584","Ruchi Anand","42","8","8A-LT 303-14:00:00-15:25:008B-LT 303-14:00:00-15:25:00"
"CH 591","Chandra M. Rao.Volla","19","",""
"CH 593","Chandra M. Rao.Volla","67","",""
"CH 792","A.Chowdhury","48","12","12A-LT 102-17:30:00-18:55:0012B-LT 102-17:30:00-18:55:00"
"CH 792","G. Naresh Patwari","48","12","12A-LT 102-17:30:00-18:55:0012B-LT 102-17:30:00-18:55:00"
"CH 792","R. B. Sunoj","48","12","12A-LT 102-17:30:00-18:55:0012B-LT 102-17:30:00-18:55:00"
"CH 801","Sourav Pal","26","14","XC-LT 103-17:30:00-18:55:0014A-LT 103-17:30:00-18:55:00"
"CH 801","A. Datta","26","14","14A-LT 103-17:30:00-18:55:00XC-LT 103-17:30:00-18:55:00"
"CH 805","I.N.N. Namboothiri","37","11","11B-CL-128-15:30:00-16:55:0011A-CL-128-15:30:00-16:55:00"
"CH 814","Y. U. Sasidhar","13","13","13A-CL-128-19:00:00-20:25:0013B-CL-128-19:00:00-20:25:00"
"CH 821","Gopalan Rajaram","47","9","9A-LT 102-15:30:00-16:55:009B-LT 102-15:30:00-16:55:00"
"CH 821","Nandita Madhavan","47","9","9B-LT 102-15:30:00-16:55:009A-LT 102-15:30:00-16:55:00"
"CH 821","A.Chowdhury","47","9","9A-LT 102-15:30:00-16:55:009B-LT 102-15:30:00-16:55:00"
"CH 827","H. B. Singh","18","8","8B-CL-128-14:00:00-15:25:008A-CL-128-14:00:00-15:25:00"
"CH 831","Gopalan Rajaram","57","LX","LX--14:00:00-16:55:00"
"CH 831","Anil Kumar","57","LX","LX--14:00:00-16:55:00"
"CH 831","Ruchi Anand","57","LX","LX--14:00:00-16:55:00"
"CH 868","Chandra M. Rao.Volla","5","",""
"CHINESE CLASS","","","",""
"CHINESE CLASS DEAN IR","","","",""
"CHINESE CLASSES- DEAN IR","","","",""
"Chinese Classes- Dean IR","","","",""
"CHS801","Ghosh Prasenjit","27","",""
"CHS801","Nandita Madhavan","27","",""
"CHS801","Kamendra P. Sharma","27","",""
"CL 203","Mukta Tripathy","69","14","14A-LC 101-17:30:00-18:55:0014B-LC 101-17:30:00-18:55:00"
"CL 203","Jyoti R. Seth","70","14","14B-CL-G18-17:30:00-18:55:0014A-CL-G18-17:30:00-18:55:00"
"CL 244","Swati Bhattacharya","145","2","2A-LC 302-09:30:00-10:25:002C-LC 302-11:35:00-12:30:002B-LC 302-10:35:00-11:30:00"
"CL 244","Sarika Mehra","145","2","2B-LC 302-10:35:00-11:30:002C-LC 302-11:35:00-12:30:002A-LC 302-09:30:00-10:25:00"
"CL 244","I16354 - Swati Bhattacharya","","","8A-CL-G29-14:00:00-15:25:008B-CL-G29-14:00:00-15:25:00"
"CL 249","Sujit S. Jogwar","124","L2","L2--14:00:00-16:55:00"
"CL 255","Rajdip Bandyopadhyaya","73","4","4A-LC 202-11:35:00-12:30:004B-LC 202-08:30:00-09:25:004C-LC 202-09:30:00-10:25:00"
"CL 255","Adhikari J.","69","1","1A-CL-130-08:30:00-09:25:001C-CL-130-10:35:00-11:30:001B-CL-130-09:30:00-10:25:00"
"CL 305","Tirumkudulu Mahesh","125","1","1C-LH 301-10:35:00-11:30:001B-LH 301-09:30:00-10:25:001A-LH 301-08:30:00-09:25:00"
"CL 305","Arindam Sarkar","125","1","1B-LH 301-09:30:00-10:25:001A-LH 301-08:30:00-09:25:001C-LH 301-10:35:00-11:30:00"
"CL 319","Vinjamur Madhu","55","2","2C-LC 301-11:35:00-12:30:002B-LC 301-10:35:00-11:30:002A-LC 301-09:30:00-10:25:00"
"CL 319","Mehra A.","65","2","2B-LH 301-10:35:00-11:30:002C-LH 301-11:35:00-12:30:002A-LH 301-09:30:00-10:25:00"
"CL 324","Abhijit Chatterjee","131","3","3C-LC 302-08:30:00-09:25:003B-LC 302-11:35:00-12:30:003A-LC 302-10:35:00-11:30:00"
"CL 324","Ganesh Viswanathan","131","3","3C-LC 302-08:30:00-09:25:003B-LC 302-11:35:00-12:30:003A-LC 302-10:35:00-11:30:00"
"CL 324","I08007 - Ganesh A. Viswanathan","","","X1-LC 101-14:00:00-15:00:00X1-LC 102-14:00:00-15:00:00"
"CL 324","I13005 - Abhijit Chatterjee","","","X1-LC 101-14:00:00-15:00:00X1-LC 102-14:00:00-15:00:00"
"CL 333","Supreet Saini","122","L","L1-WB-G01-14:00:00-16:55:00L3-WB-G01-14:00:00-16:55:00"
"CL 333","P.Sunthar","122","L","L1-WB-G01-14:00:00-16:55:00L3-WB-G01-14:00:00-16:55:00"
"CL 333","Venkat Gundabala","122","L","L3-WB-G01-14:00:00-16:55:00L1-WB-G01-14:00:00-16:55:00"
"CL 333","Leja Hattiangadi","122","L","L1-WB-G01-14:00:00-16:55:00L3-WB-G01-14:00:00-16:55:00"
"CL 336","Sameer Ralph Jadhav","19","6","6A-CL-136-11:05:00-12:30:006B-CL-136-11:05:00-12:30:00"
"CL 356","S.Ganeshan","65","14","14A-CL-130-17:30:00-18:55:0014B-CL-130-17:30:00-18:55:00"
"CL 405","021064 - Ranjan  K. Malik","","","12B-LC 001-17:30:00-18:55:00"
"CL 405","Malik R.K.","130","6","6A-LC 102-11:05:00-12:30:006B-LC 102-11:05:00-12:30:00"
"CL 405","I15177 - Leja Hattiangadi","","","12B-LC 001-17:30:00-18:55:00"
"CL 405","Leja Hattiangadi","130","6","6B-LC 102-11:05:00-12:30:006A-LC 102-11:05:00-12:30:00"
"CL 409","Bellare J.","67","1","1C-LC 001-10:35:00-11:30:001A-LC 001-08:30:00-09:25:001B-LC 001-09:30:00-10:25:00"
"CL 409","Nanavati Hemant","53","3","3A-CL-G18-10:35:00-11:30:003B-CL-G18-11:35:00-12:30:003C-CL-G18-08:30:00-09:25:00"
"CL 419","021064 - Ranjan  K. Malik","","","12B-LC 001-17:30:00-18:55:00"
"CL 419","Malik R.K.","128","6","6A-LC 102-11:05:00-12:30:006B-LC 102-11:05:00-12:30:00"
"CL 419","I15177 - Leja Hattiangadi","","","12B-LC 001-17:30:00-18:55:00"
"CL 419","Leja Hattiangadi","128","6","6B-LC 102-11:05:00-12:30:006A-LC 102-11:05:00-12:30:00"
"CL 433","Madhukar O. Garg","120","L","L2-WB-G01-14:00:00-16:55:00L4-WB-G01-14:00:00-16:55:00"
"CL 433","P.Sunthar","120","L","L4-WB-G01-14:00:00-16:55:00L2-WB-G01-14:00:00-16:55:00"
"CL 433","Wangikar P.","120","L","L4-WB-G01-14:00:00-16:55:00L2-WB-G01-14:00:00-16:55:00"
"CL 444","Roy S.","31","2","2C-SIC205-11:35:00-12:30:002A-SIC205-09:30:00-10:25:002B-SIC205-10:35:00-11:30:00"
"CL 455","Moharir A.S.","123","L","8B-LH 302-14:00:00-15:25:008A-LH 302-14:00:00-15:25:009A-LH 302-15:30:00-16:55:009B-LH 302-15:30:00-16:55:00"
"CL 455","Yogendra Shastri","123","L","9A-LH 302-15:30:00-16:55:008A-LH 302-14:00:00-15:25:008B-LH 302-14:00:00-15:25:009B-LH 302-15:30:00-16:55:00"
"CL 601","Jyoti R. Seth","84","3","3B-LC 202-11:35:00-12:30:003A-LC 202-10:35:00-11:30:003C-LC 202-08:30:00-09:25:00"
"CL 602","Ratul Dasgupta","84","14","14B-LC 001-17:30:00-18:55:0014A-LC 001-17:30:00-18:55:00"
"CL 605","Sanjay Mahajani","79","6","6B-CL-G29-11:05:00-12:30:006A-CL-G29-11:05:00-12:30:00"
"CL 607","Ateeque Malani","73","5","5A-CL-136-09:30:00-10:55:005B-CL-136-09:30:00-10:55:00"
"CL 613","Rochish Thaokar","7","5","5B-CL-G29-09:30:00-10:55:005A-CL-G29-09:30:00-10:55:00"
"CL 625","Bhartiya S.","12","5","5B-CL-130-09:30:00-10:55:005A-CL-130-09:30:00-10:55:00"
"CL 651","Juvekar V.A.","3","6","6A-CL-128-11:05:00-12:30:006B-CL-128-11:05:00-12:30:00"
"CL 653","Manibhushan","31","14","14B-CL-136-17:30:00-18:55:0014A-CL-136-17:30:00-18:55:00"
"CL 659","Venkatesh K.V.","41","5","5B-LC 101-09:30:00-10:55:005A-LC 101-09:30:00-10:55:00"
"CL 665","Yogendra Shastri","47","4","4B-LT 003-08:30:00-09:25:004A-LT 003-11:35:00-12:30:004C-LT 003-09:30:00-10:25:00"
"CL 673","Partha  S. Goswami","16","2","2A-CL-136-09:30:00-10:25:002C-CL-136-11:35:00-12:30:002B-CL-136-10:35:00-11:30:00"
"CL 688","Santosh Noronha","0","9","9A-LT 203-15:30:00-16:55:009B-LT 203-15:30:00-16:55:00"
"CL 692","Moudgalya Kannan.","9","12","12A-CL-125-17:30:00-18:55:0012B-CL-125-17:30:00-18:55:00"
"CL 701","I01116 - Sachin  C. Patwardhan","","","7A-CL-G29-08:30:00-09:25:007B-CL-G29-08:30:00-09:25:00"
"CL 701","Sachin Patwardhan","77","2","2C-CL-G29-11:35:00-12:30:002B-CL-G29-10:35:00-11:30:002A-CL-G29-09:30:00-10:25:00"
"CL 702","Mukta Tripathy","104","X","XC-CL-G29-17:30:00-18:55:00"
"CL 702","Rajdip Bandyopadhyaya","104","X","XC-CL-G29-17:30:00-18:55:00"
"CL 710","Y. S.  Mayya","7","8","8B-CL-136-14:00:00-15:25:008A-CL-136-14:00:00-15:25:00"
"CL 710","Chandra V","7","8","8A-CL-136-14:00:00-15:25:008B-CL-136-14:00:00-15:25:00"
"CL 717","Supreet Saini","12","6","6A-CL-125-11:05:00-12:30:006B-CL-125-11:05:00-12:30:00"
"CL 792","P.Sunthar","14","LX","X1-CL-125-14:00:00-15:00:00"
"CLASS (PROF. A. SINGH) BOOKED BY MR. DATTARAM","","","",""
"CLASS (PROF. APARNA SINGH )","","","",""
"CM 603","Anand B. Rao","10","9","9B-LT 003-15:30:00-16:55:009A-LT 003-15:30:00-16:55:00"
"CM 603","Subhankar Karmakar","10","9","9A-LT 003-15:30:00-16:55:009B-LT 003-15:30:00-16:55:00"
"CM 603","Chandra V","10","9","9B-LT 003-15:30:00-16:55:009A-LT 003-15:30:00-16:55:00"
"CM 605","Satish B. Agnihotri","0","5","5B-LT 204-09:30:00-10:55:005A-LT 204-09:30:00-10:55:00"
"CM 605","Subodh M. Wagle","0","5","5A-LT 204-09:30:00-10:55:005B-LT 204-09:30:00-10:55:00"
"CM 606","Bandyopadhyay Santanu","5","6","6A-LC 001-11:05:00-12:30:006B-LC 001-11:05:00-12:30:00"
"CM 608","Yogendra Shastri","2","4","4A-LT 003-11:35:00-12:30:004C-LT 003-09:30:00-10:25:004B-LT 003-08:30:00-09:25:00"
"CM 803","Subhankar Karmakar","11","9","9B-LT 003-15:30:00-16:55:009A-LT 003-15:30:00-16:55:00"
"CM 803","Anand B. Rao","11","9","9A-LT 003-15:30:00-16:55:009B-LT 003-15:30:00-16:55:00"
"CM 803","Chandra V","11","9","9A-LT 003-15:30:00-16:55:009B-LT 003-15:30:00-16:55:00"
"COEST CORE GROUP MEETING (BOOKED BY PROF. KN)","","","",""
"COEST PROJECT MEETING (PROF. KN)","","","",""
"COURSE ME 792","","","",""
"CS 101","Bellur Umesh","299","6","6A-LA 101-11:05:00-12:30:006B-LA 101-11:05:00-12:30:00"
"CS 101","","","","4B-LA 101-08:30:00-09:25:004B-LA 101-08:30:00-09:25:00"
"CS 101","Bellur Umesh","300","11","11B-LA 101-15:30:00-16:55:0011A-LA 101-15:30:00-16:55:00"
"CS 207","Diwan A.A.","131","2","2A-LC 102-09:30:00-10:25:002B-LC 102-10:35:00-11:30:002C-LC 102-11:35:00-12:30:00"
"CS 213","R. K. Shyamasundar","149","11","11A-LC 001-15:30:00-16:55:0011B-LC 001-15:30:00-16:55:00"
"CS 215","Suyash P. Awate","131","10","10B-GL-402-14:00:00-15:25:0010A-GL-402-14:00:00-15:25:00"
"CS 215","Ajit V. Rajwade","131","10","10B-GL-402-14:00:00-15:25:0010A-GL-402-14:00:00-15:25:00"
"CS 224","Mythili Vutukuru","110","5","5A-CC 103-09:30:00-10:55:005B-CC 103-09:30:00-10:55:00"
"CS 251","K. Arya","130","L",""
"CS 251","I01015 - Kavi J. Arya","","","3A-CC 103-10:35:00-11:30:003B-CC 103-11:35:00-12:30:003C-CC 103-08:30:00-09:25:00"
"CS 293","R. K. Shyamasundar","135","L1","L1--14:00:00-16:55:00"
"CS 305","Bhaskar Raman","120","1","1A-CC 103-08:30:00-09:25:001B-CC 103-09:30:00-10:25:001C-CC 103-10:35:00-11:30:00"
"CS 317","Sudarshan S.","131","2","2B-CC 103-10:35:00-11:30:002C-CC 103-11:35:00-12:30:002A-CC 103-09:30:00-10:25:00"
"CS 333","Purushottam Kulkarni","121","L4","L4--14:00:00-16:55:00"
"CS 341","Bhaskar Raman","119","LX","LX--14:00:00-16:55:00"
"CS 347","Purushottam Kulkarni","121","6","6A-LC 301-11:05:00-12:30:006B-LC 301-11:05:00-12:30:00"
"CS 347","B. L. Menezes","97","5","5B-SIC201-09:30:00-10:55:005A-SIC201-09:30:00-10:55:00"
"CS 387","Sudarshan S.","119","L2","L2--14:00:00-16:55:00"
"CS 403","G.Ramakrishnan","52","8","8B-LA 301-14:00:00-15:25:008A-LA 301-14:00:00-15:25:00"
"CS 416","Kameswari Chebrolu","30","5","5A-SIC301-09:30:00-10:55:005B-SIC301-09:30:00-10:55:00"
"CS 475","Parag Chaudhuri","50","8","8A-SIC301-14:00:00-15:25:008B-SIC301-14:00:00-15:25:00"
"CS 601","Vishwanathan Sundar","133","2","2C-SIB101-11:35:00-12:30:002B-SIB101-10:35:00-11:30:002A-SIB101-09:30:00-10:25:00"
"CS 613","Sanyal Amitabh","32","10","10A-SIC305-14:00:00-15:25:0010B-SIC305-14:00:00-15:25:00"
"CS 615","Supratik Chakraborty","16","14","14A-SIC305-17:30:00-18:55:0014B-SIC305-17:30:00-18:55:00"
"CS 616","Biswas S.","4","11","11B-SIC305-15:30:00-16:55:0011A-SIC305-15:30:00-16:55:00"
"CS 618","Uday Khedkar","25","9","9A-SIC305-15:30:00-16:55:009B-SIC305-15:30:00-16:55:00"
"CS 621","Sivakumar G.","43","10","10B-SIC205-14:00:00-15:25:0010A-SIC205-14:00:00-15:25:00"
"CS 631","Sarda N.L.","32","6","6B-SIC201-11:05:00-12:30:006A-SIC201-11:05:00-12:30:00"
"CS 635","Chakrabarti Soumen","63","11","11A-SIC201-15:30:00-16:55:0011B-SIC201-15:30:00-16:55:00"
"CS 663","Suyash P. Awate","110","9","9A-CC 103-15:30:00-16:55:009B-CC 103-15:30:00-16:55:00"
"CS 663","Ajit V. Rajwade","110","9","9B-CC 103-15:30:00-16:55:009A-CC 103-15:30:00-16:55:00"
"CS 669","Om P. Damani","0","L",""
"CS 669","I04119 - Om P. Damani","","","3A-LC 002-10:35:00-11:30:003B-LC 002-11:35:00-12:30:003C-LC 002-08:30:00-09:25:00"
"CS 675","Parag Chaudhuri","17","8","8B-SIC301-14:00:00-15:25:008A-SIC301-14:00:00-15:25:00"
"CS 683","Virendra Singh","16","4","4C-SIC201-09:30:00-10:25:004B-SIC201-08:30:00-09:25:004A-SIC201-11:35:00-12:30:00"
"CS 699","Om P. Damani","120","L",""
"CS 721","Nutan Limaye","19","11","11B-CC 105-15:30:00-16:55:0011A-CC 105-15:30:00-16:55:00"
"CS 725","G.Ramakrishnan","124","8","8A-LA 301-14:00:00-15:25:008B-LA 301-14:00:00-15:25:00"
"CS 742","Kameswari Chebrolu","135","9","9B-LH 101-15:30:00-16:55:009A-LH 101-15:30:00-16:55:00"
"CS 744","Mythili Vutukuru","72","1","1A-SIC201-08:30:00-09:25:001B-SIC201-09:30:00-10:25:001C-SIC201-10:35:00-11:30:00"
"CS 747","Shivaram Kalyanakrishnan","80","6","6A-CC 103-11:05:00-12:30:006B-CC 103-11:05:00-12:30:00"
"CS 753","Preethi Jyothi","51","9","9A-SIC301-15:30:00-16:55:009B-SIC301-15:30:00-16:55:00"
"CS 758","Manoj Prabhakaran","18","8","8B-CC 101-14:00:00-15:25:008A-CC 101-14:00:00-15:25:00"
"DE 101","Poovaiah Ravi","29","",""
"DE 101","Mohanty Raja","29","",""
"DE 101","Venkatesh Rajamanickam","29","",""
"DE 103","Sumant Rao","29","",""
"DE 103","Jayesh S. Pillai","29","",""
"DE 103","Mandar S.Rane","29","",""
"DE 105","Sudesh Balan","29","",""
"DE 105","Sumant Rao","29","",""
"DE 121","Dinesh Korjan","29","",""
"DE 121","Poovaiah Ravi","29","",""
"DE 131","Girish V. Dalvi","30","",""
"DE 131","Nina Sabnani","30","",""
"DE 133","Alka Hingorani","29","",""
"DE 133","P Kumaresan","29","",""
"DE 201","Mandar S.Rane","29","",""
"DE 201","Girish V. Dalvi","29","",""
"DE 203","Peer  Mohideen Sathikh","29","",""
"DE 203","Rao A.G","29","",""
"DE 205","R. Sandesh","30","",""
"DE 221","Shilpa Ranade","32","",""
"DE 221","Athavankar Uday A.","32","",""
"DE 221","Nina Sabnani","32","",""
"DE 231","Mohanty Raja","30","",""
"DE 302","Phani Tetali","7","",""
"DE 303","Venkatesh Rajamanickam","12","",""
"DE 305","Mazhar Kamran","14","",""
"DE 307","Bapat V.P.","5","",""
"DE 309","Girish V. Dalvi","19","",""
"DE 311","Sugandh Malhotra","4","",""
"DE 315","Ray G.G.","30","",""
"DE 331","B.K.Chakravarthy","30","",""
"DE 401","Mohanty Raja","30","5","5A-LT 205-09:30:00-10:55:005B-LT 205-09:30:00-10:55:00"
"DE 402","B.K.Chakravarthy","47","5","5B-MA-G05-09:30:00-10:55:005A-MA-G05-09:30:00-10:55:00"
"DE 402","B.K.Chakravarthy","18","X",""
"DE 403","Mohanty Raja","78","",""
"DE 405","Mohanty Raja","13","",""
"DE 413","Alka Hingorani","32","5","5A-CC 101-09:30:00-10:55:005B-CC 101-09:30:00-10:55:00"
"DE 413","Alka Hingorani","16","5","5B-CC 101-09:30:00-10:55:005A-CC 101-09:30:00-10:55:00"
"DE 601","Sudesh Balan","24","",""
"DE 603","P Kumaresan","14","",""
"DE 605","Bapat V.P.","14","",""
"DE 607","Rao A.G","14","",""
"DE 609","Purba Joshi","14","",""
"DE 611","P Kumaresan","14","",""
"DE 613","Poovaiah Ravi","37","",""
"DE 615","G.V.Sreekumar","14","",""
"DE 615","Mahendra Patel","14","",""
"DE 617","Sudesh Balan","14","",""
"DE 619","Mohanty Raja","14","",""
"DE 621","Jayesh S. Pillai","14","",""
"DE 621","Sudesh Balan","14","",""
"DE 623","Mandar S.Rane","14","",""
"DE 625","Sudesh Balan","14","",""
"DE 627","Sumant Rao","61","",""
"DE 629","Jayesh S. Pillai","23","",""
"DE 631","Girish V. Dalvi","23","",""
"DE 633","Ravi Hazra","12","",""
"DE 633","Girish V. Dalvi","12","",""
"DE 635","Venkatesh Rajamanickam","13","",""
"DE 637","Purba Joshi","28","",""
"DE 637","Joshi Anirudha","28","",""
"DE 639","Joshi Anirudha","13","",""
"DE 641","Poovaiah Ravi","12","",""
"DE 643","Sumant Rao","11","",""
"DE 645","Nina Sabnani","12","",""
"DE 647","Shilpa Ranade","11","",""
"DE 649","Sumant Rao","13","",""
"DE 649","Phani Tetali","13","",""
"DE 651","Mohanty Raja","25","",""
"DE 651","Phani Tetali","25","",""
"DE 653","Sugandh Malhotra","11","",""
"DE 655","Sugandh Malhotra","11","",""
"DE 657","Ray G.G.","10","",""
"DE 659","Nishant Sharma","11","",""
"DE 661","Nishant Sharma","11","",""
"DE 663","Jayesh S. Pillai","36","",""
"DE 663","Ravi Hazra","36","",""
"DE 665","Nishant Sharma","10","",""
"DE 669","Purba Joshi","16","",""
"DE 669","Mandar S.Rane","16","",""
"DE 671","Mohanty Raja","3","",""
"DE 675","Sugandh Malhotra","0","",""
"DE 675","Nishant Sharma","0","",""
"DE 676","Sugandh Malhotra","0","",""
"DE 676","Nishant Sharma","0","",""
"DE 677","Jayesh S. Pillai","27","",""
"DE 678","P Kumaresan","9","",""
"DE 701","Sadhu N.","15","",""
"DE 702","Sumant Rao","60","",""
"DE 702","Purba Joshi","60","",""
"DE 702","Venkatesh Rajamanickam","60","",""
"DE 702","Mandar S.Rane","60","",""
"DE 702","Mohanty Raja","60","",""
"DE 702","Sugandh Malhotra","60","",""
"DE 705","Venkatesh Rajamanickam","14","",""
"DE 707","Joshi Anirudha","42","",""
"DE 707","Girish V. Dalvi","42","",""
"DE 709","Mazhar Kamran","11","",""
"DE 711","Sumant Rao","11","",""
"DE 713","Nishant Sharma","7","",""
"DE 713","Sugandh Malhotra","7","",""
"DE 717","Pramod Khambete","7","",""
"DE 721","Phani Tetali","14","",""
"DE 725","Athavankar Uday A.","26","",""
"DE 731","Alka Hingorani","23","",""
"DE 801","Mazhar Kamran","7","",""
"DE 802","Mazhar Kamran","0","",""
"DE 803","Girish V. Dalvi","7","",""
"DE 803","Joshi Anirudha","7","",""
"DE 804","Mazhar Kamran","7","",""
"DEP301","Girish V. Dalvi","30","",""
"DEP701","Purba Joshi","60","",""
"DEP701","Sumant Rao","60","",""
"DEP701","Venkatesh Rajamanickam","60","",""
"DEP701","Mandar S.Rane","60","",""
"DEP701","Sugandh Malhotra","60","",""
"EE 101","I07161 - Subhananda  Chakrabarti","","","14B-LT 301-17:30:00-18:55:0014B-LT 302-17:30:00-18:55:0014B-LT 303-17:30:00-18:55:00"
"EE 101","S. Chakrabarti","112","4","7A-SMA113-08:30:00-09:25:007B-SMA113-08:30:00-09:25:004C-LH 302-09:30:00-10:25:004B-LH 302-08:30:00-09:25:004A-LH 302-11:35:00-12:30:00"
